date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,location,fetch_timestamp_utc
2025-03-13 13:00:00+00:00,7.3045,100.0,3.96,141.2083,32.57548,159.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 14:00:00+00:00,7.8045,70.0,5.3999996,178.29953,272.02676,313.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 15:00:00+00:00,7.7545004,100.0,8.28,148.56332,302.6523,272.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 16:00:00+00:00,6.5545,100.0,12.959999,40.746906,4.3185525,42.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 17:00:00+00:00,5.7545004,9.0,14.759999,51.3329,57.719913,60.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 18:00:00+00:00,4.8045,1.0,11.879999,9.673599,4.416164,10.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 19:00:00+00:00,4.4045,100.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 20:00:00+00:00,4.2545004,95.0,12.24,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 21:00:00+00:00,3.4045,44.0,8.64,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 22:00:00+00:00,3.1045,87.0,8.28,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 23:00:00+00:00,2.7545,49.0,7.5599995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 00:00:00+00:00,2.2545,85.0,6.4799995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 01:00:00+00:00,2.2545,83.0,5.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 02:00:00+00:00,2.2045,100.0,6.8399997,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 03:00:00+00:00,2.4545,100.0,6.8399997,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 04:00:00+00:00,-0.8,37.0,5.692099,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 05:00:00+00:00,-1.1,39.0,5.1165614,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 06:00:00+00:00,-0.85,38.0,4.8433046,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 07:00:00+00:00,0.3,31.0,5.6233797,41.88844,178.82043,63.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 08:00:00+00:00,2.05,21.0,6.9153743,95.58247,330.35837,173.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 09:00:00+00:00,3.6,13.0,8.209263,131.07059,426.4532,286.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 10:00:00+00:00,4.8,11.0,9.726664,150.31343,530.264,397.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 11:00:00+00:00,5.85,11.0,11.246759,160.18947,590.4594,475.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 12:00:00+00:00,6.55,11.0,12.496718,167.76463,587.06146,498.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 13:00:00+00:00,6.75,10.0,14.003028,170.83467,542.6453,470.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 14:00:00+00:00,6.55,9.0,15.072783,163.83774,484.0332,406.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 15:00:00+00:00,6.0,8.0,15.986593,145.91545,402.15085,312.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 16:00:00+00:00,4.85,5.0,15.876775,113.98663,308.1593,205.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 17:00:00+00:00,3.4,1.0,15.315873,66.78161,220.19466,101.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 18:00:00+00:00,2.35,0.0,14.654254,16.021286,65.04479,21.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 19:00:00+00:00,2.1,3.0,13.217443,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 20:00:00+00:00,2.25,9.0,11.792404,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 21:00:00+00:00,2.35,12.0,10.383987,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 22:00:00+00:00,2.1,10.0,9.885262,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-14 23:00:00+00:00,1.8,7.0,9.885262,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 00:00:00+00:00,1.5,5.0,9.885262,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 01:00:00+00:00,1.2,7.0,9.793059,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 02:00:00+00:00,0.95,11.0,9.686609,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 03:00:00+00:00,0.7,15.0,9.686609,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 04:00:00+00:00,0.3,20.0,9.220499,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 05:00:00+00:00,-0.1,26.0,8.4963045,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 06:00:00+00:00,0.1,28.0,8.78872,0.97764903,0.5031472,1.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 07:00:00+00:00,1.3,22.0,10.883676,47.821075,257.13922,79.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 08:00:00+00:00,3.1,12.0,14.081477,98.51079,425.9159,201.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 09:00:00+00:00,4.55,6.0,15.683774,132.89406,422.4667,289.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 10:00:00+00:00,5.35,10.0,15.0038395,165.9653,360.77307,336.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 11:00:00+00:00,5.85,17.0,13.217443,191.49796,319.98422,364.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 12:00:00+00:00,6.15,21.0,11.983188,199.58148,349.16205,398.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 13:00:00+00:00,6.25,17.0,13.004922,188.08626,420.05984,422.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 14:00:00+00:00,6.15,8.0,15.617529,168.47047,453.9285,398.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 15:00:00+00:00,5.65,2.0,17.873554,146.99301,408.95566,318.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 16:00:00+00:00,4.55,0.0,17.193533,115.477875,321.3638,212.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 17:00:00+00:00,3.05,0.0,14.81259,69.08381,236.55284,107.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 18:00:00+00:00,1.8,0.0,12.783802,17.318796,71.94283,23.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 19:00:00+00:00,1.05,0.0,11.090103,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 20:00:00+00:00,0.5,0.0,9.793059,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 21:00:00+00:00,0.1,0.0,8.4963045,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 22:00:00+00:00,-0.2,0.0,7.7879906,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-15 23:00:00+00:00,-0.35,0.0,7.9036193,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-16 00:00:00+00:00,-0.55,0.0,7.5685663,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-16 01:00:00+00:00,-0.85,0.0,7.289444,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-16 02:00:00+00:00,-1.15,0.0,7.172949,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
