Forecasted Load,forecast_date,target_datetime
14654.0,2025-01-05,2025-01-05 11:30:00+01:00
14856.0,2025-01-05,2025-01-05 11:45:00+01:00
14908.0,2025-01-05,2025-01-05 12:00:00+01:00
14997.0,2025-01-05,2025-01-05 12:15:00+01:00
14901.0,2025-01-05,2025-01-05 12:30:00+01:00
14961.0,2025-01-05,2025-01-05 12:45:00+01:00
14937.0,2025-01-05,2025-01-05 13:00:00+01:00
14937.0,2025-01-05,2025-01-05 13:15:00+01:00
15034.0,2025-01-05,2025-01-05 13:30:00+01:00
14984.0,2025-01-05,2025-01-05 13:45:00+01:00
15009.0,2025-01-05,2025-01-05 14:00:00+01:00
15051.0,2025-01-05,2025-01-05 14:15:00+01:00
15002.0,2025-01-05,2025-01-05 14:30:00+01:00
15073.0,2025-01-05,2025-01-05 14:45:00+01:00
15123.0,2025-01-05,2025-01-05 15:00:00+01:00
15227.0,2025-01-05,2025-01-05 15:15:00+01:00
15249.0,2025-01-05,2025-01-05 15:30:00+01:00
15253.0,2025-01-05,2025-01-05 15:45:00+01:00
15408.0,2025-01-05,2025-01-05 16:00:00+01:00
15552.0,2025-01-05,2025-01-05 16:15:00+01:00
15732.0,2025-01-05,2025-01-05 16:30:00+01:00
16051.0,2025-01-05,2025-01-05 16:45:00+01:00
16036.0,2025-01-05,2025-01-05 17:00:00+01:00
16127.0,2025-01-05,2025-01-05 17:15:00+01:00
16228.0,2025-01-05,2025-01-05 17:30:00+01:00
16328.0,2025-01-05,2025-01-05 17:45:00+01:00
16130.0,2025-01-05,2025-01-05 18:00:00+01:00
15966.0,2025-01-05,2025-01-05 18:15:00+01:00
15857.0,2025-01-05,2025-01-05 18:30:00+01:00
15749.0,2025-01-05,2025-01-05 18:45:00+01:00
15578.0,2025-01-05,2025-01-05 19:00:00+01:00
15484.0,2025-01-05,2025-01-05 19:15:00+01:00
15390.0,2025-01-05,2025-01-05 19:30:00+01:00
15280.0,2025-01-05,2025-01-05 19:45:00+01:00
15029.0,2025-01-05,2025-01-05 20:00:00+01:00
14939.0,2025-01-05,2025-01-05 20:15:00+01:00
14733.0,2025-01-05,2025-01-05 20:30:00+01:00
14614.0,2025-01-05,2025-01-05 20:45:00+01:00
14485.0,2025-01-05,2025-01-05 21:00:00+01:00
14362.0,2025-01-05,2025-01-05 21:15:00+01:00
14224.0,2025-01-05,2025-01-05 21:30:00+01:00
14101.0,2025-01-05,2025-01-05 21:45:00+01:00
14111.0,2025-01-05,2025-01-05 22:00:00+01:00
13906.0,2025-01-05,2025-01-05 22:15:00+01:00
13752.0,2025-01-05,2025-01-05 22:30:00+01:00
13580.0,2025-01-05,2025-01-05 22:45:00+01:00
13574.0,2025-01-05,2025-01-05 23:00:00+01:00
13408.0,2025-01-05,2025-01-05 23:15:00+01:00
